age,state,n
43,DE,94
43,NJ,1016
43,NY,2165
43,PA,1375
43,IL,1464
43,IN,749
43,MI,1047
43,OH,1274
43,WI,621
43,IA,348
43,KS,299
43,MN,573
43,MO,652
43,NE,195
43,ND,57
43,SD,83
43,VA,925
43,AL,518
43,AR,322
43,FL,2119
43,GA,1124
43,LA,487
43,MS,331
43,NC,1207
43,SC,548
43,TX,3197
43,KY,481
43,MD,652
43,OK,415
43,TN,771
43,WV,200
43,AZ,795
43,CO,707
43,ID,158
43,MT,105
43,NV,330
43,NM,230
43,UT,426
43,WY,43
43,CA,4550
43,OR,534
43,WA,868
43,AK,73
43,HI,148
44,CT,398
44,ME,134
44,MA,740
44,NH,160
44,RI,103
44,VT,71
44,DE,103
44,NJ,1018
44,NY,2170
44,PA,1368
44,IL,1489
44,IN,729
44,MI,985
44,OH,1303
44,WI,628
44,IA,346
44,KS,326
44,MN,553
44,MO,641
44,NE,210
44,ND,83
44,SD,96
44,VA,1000
44,AL,527
44,AR,337
44,FL,2136
44,GA,1236
44,LA,461
44,MS,311
44,NC,1147
44,SC,529
44,TX,3317
44,KY,520
44,MD,677
44,OK,397
44,TN,800
44,WV,203
44,AZ,769
44,CO,700
44,ID,188
44,MT,92
44,NV,333
44,NM,228
44,UT,397
44,WY,55
44,CA,4567
44,OR,486
44,WA,845
44,AK,52
44,HI,171
45,CT,430
45,ME,137
45,MA,768
45,NH,137
45,RI,106
45,VT,64
45,DE,108
45,NJ,1071
45,NY,2085
45,PA,1397
45,IL,1440
45,IN,711
45,MI,1119
45,OH,1320
45,WI,606
45,IA,301
45,KS,286
45,MN,546
45,MO,663
45,NE,168
45,ND,67
45,SD,80
45,VA,953
45,AL,515
45,AR,354
45,FL,2148
45,GA,1156
45,LA,436
45,MS,291
45,NC,1128
45,SC,518
45,TX,3285
45,KY,480
45,MD,660
45,OK,381
45,TN,775
45,WV,197
45,AZ,708
45,CO,634
45,ID,184
45,MT,104
45,NV,316
45,NM,206
45,UT,325
45,WY,44
45,CA,4321
45,OR,473
45,WA,880
45,AK,75
45,HI,146
46,CT,442
46,ME,153
46,MA,801
46,NH,144
46,RI,118
46,VT,61
46,DE,88
46,NJ,1105
46,NY,2259
46,PA,1437
46,IL,1512
46,IN,756
46,MI,1130
46,OH,1303
46,WI,612
46,IA,305
46,KS,331
46,MN,576
46,MO,637
46,NE,185
46,ND,87
46,SD,84
46,VA,1015
46,AL,619
46,AR,327
46,FL,2402
46,GA,1190
46,LA,489
46,MS,348
46,NC,1258
46,SC,563
46,TX,3280
46,KY,524
46,MD,696
46,OK,404
46,TN,829
46,WV,186
46,AZ,770
46,CO,684
46,ID,174
46,MT,88
46,NV,395
46,NM,228
46,UT,315
46,WY,65
46,CA,4650
46,OR,509
46,WA,869
46,AK,80
46,HI,172
47,CT,403
47,ME,154
47,MA,838
47,NH,172
47,RI,101
47,VT,65
47,DE,115
47,NJ,1075
47,NY,2294
47,PA,1509
47,IL,1587
47,IN,858
47,MI,1162
47,OH,1393
47,WI,684
47,IA,364
47,KS,330
47,MN,568
47,MO,685
47,NE,221
47,ND,81
47,SD,81
47,VA,1050
47,AL,551
47,AR,342
47,FL,2373
47,GA,1256
47,LA,460
47,MS,325
47,NC,1268
47,SC,562
47,TX,3285
47,KY,544
47,MD,741
47,OK,451
47,TN,859
47,WV,208
47,AZ,751
47,CO,657
47,ID,196
47,MT,93
47,NV,363
47,NM,210
47,UT,383
47,WY,65
47,CA,4743
47,OR,502
47,WA,924
47,AK,80
47,HI,183
48,CT,469
48,ME,187
48,MA,902
48,NH,173
48,RI,112
48,VT,80
48,DE,108
48,NJ,1258
48,NY,2496
48,PA,1614
48,IL,1659
48,IN,877
48,MI,1239
48,OH,1510
48,WI,736
48,IA,334
48,KS,333
48,MN,664
48,MO,747
48,NE,255
48,ND,91
48,SD,87
48,VA,1167
48,AL,609
48,AR,346
48,FL,2545
48,GA,1392
48,LA,529
48,MS,361
48,NC,1373
48,SC,619
48,TX,3457
48,KY,636
48,MD,868
48,OK,502
48,TN,939
48,WV,252
48,AZ,843
48,CO,753
48,ID,174
48,MT,122
48,NV,373
48,NM,198
48,UT,336
48,WY,72
48,CA,4882
48,OR,537
48,WA,969
48,AK,79
48,HI,182
49,CT,493
49,ME,152
49,MA,836
49,NH,189
49,RI,129
49,VT,76
49,DE,105
49,NJ,1180
49,NY,2443
49,PA,1607
49,IL,1551
49,IN,828
49,MI,1256
49,OH,1461
49,WI,748
49,IA,349
49,KS,364
49,MN,707
49,MO,781
49,NE,205
49,ND,87
49,SD,84
49,VA,1233
49,AL,634
49,AR,333
49,FL,2571
49,GA,1441
49,LA,547
49,MS,357
49,NC,1362
49,SC,591
49,TX,3534
49,KY,602
49,MD,784
49,OK,427
49,TN,877
49,WV,232
49,AZ,840
49,CO,707
49,ID,217
49,MT,114
49,NV,343
49,NM,273
49,UT,319
49,WY,54
49,CA,5045
49,OR,513
49,WA,968
49,AK,96
49,HI,175
50,CT,503
50,ME,161
50,MA,926
50,NH,182
50,RI,107
50,VT,84
50,DE,115
50,NJ,1240
50,NY,2532
50,PA,1634
50,IL,1556
50,IN,823
50,MI,1290
50,OH,1515
50,WI,786
50,IA,371
50,KS,349
50,MN,672
50,MO,767
50,NE,227
50,ND,84
50,SD,89
50,VA,1098
50,AL,619
50,AR,360
50,FL,2588
50,GA,1360
50,LA,518
50,MS,332
50,NC,1401
50,SC,598
50,TX,3353
50,KY,620
50,MD,790
50,OK,399
50,TN,885
50,WV,204
50,AZ,795
50,CO,725
50,ID,203
50,MT,107
50,NV,370
50,NM,195
50,UT,319
50,WY,55
50,CA,5020
50,OR,511
50,WA,955
50,AK,75
50,HI,191
51,CT,499
51,ME,185
51,MA,924
51,NH,183
51,RI,132
51,VT,70
51,DE,134
51,NJ,1215
51,NY,2669
51,PA,1661
51,IL,1656
51,IN,814
51,MI,1354
51,OH,1454
51,WI,781
51,IA,371
51,KS,326
51,MN,693
51,MO,726
51,NE,194
51,ND,74
51,SD,97
51,VA,1107
51,AL,613
51,AR,370
51,FL,2660
51,GA,1360
51,LA,559
51,MS,355
51,NC,1346
51,SC,657
51,TX,3389
51,KY,594
51,MD,845
51,OK,468
51,TN,835
51,WV,241
51,AZ,879
51,CO,663
51,ID,200
51,MT,94
51,NV,360
51,NM,214
51,UT,307
51,WY,66
51,CA,5113
51,OR,502
51,WA,985
51,AK,100
51,HI,211
52,CT,510
52,ME,161
52,MA,932
52,NH,182
52,RI,148
52,VT,93
52,DE,110
52,NJ,1228
52,NY,2463
52,PA,1618
52,IL,1657
52,IN,838
52,MI,1360
52,OH,1517
52,WI,811
52,IA,398
52,KS,327
52,MN,685
52,MO,741
52,NE,212
52,ND,78
52,SD,89
52,VA,1105
52,AL,585
52,AR,356
52,FL,2491
52,GA,1376
52,LA,496
52,MS,359
52,NC,1284
52,SC,612
52,TX,3248
52,KY,584
52,MD,808
52,OK,433
52,TN,853
52,WV,203
52,AZ,752
52,CO,689
52,ID,177
52,MT,110
52,NV,383
52,NM,200
52,UT,299
52,WY,67
52,CA,4761
52,OR,484
52,WA,871
52,AK,83
52,HI,168
53,CT,498
53,ME,193
53,MA,994
53,NH,222
53,RI,132
53,VT,77
53,DE,125
53,NJ,1246
53,NY,2703
53,PA,1746
53,IL,1671
53,IN,859
53,MI,1329
53,OH,1523
53,WI,874
53,IA,376
53,KS,374
53,MN,767
53,MO,803
53,NE,240
53,ND,81
53,SD,98
53,VA,1146
53,AL,661
53,AR,389
53,FL,2711
53,GA,1334
53,LA,527
53,MS,378
53,NC,1376
53,SC,654
53,TX,3299
53,KY,575
53,MD,851
53,OK,424
53,TN,853
53,WV,208
53,AZ,825
53,CO,662
53,ID,162
53,MT,114
53,NV,356
53,NM,217
53,UT,327
53,WY,76
53,CA,4894
53,OR,474
53,WA,947
53,AK,82
53,HI,185
54,CT,545
54,ME,190
54,MA,937
54,NH,224
54,RI,156
54,VT,99
54,DE,134
54,NJ,1385
54,NY,2770
54,PA,1872
54,IL,1680
54,IN,951
54,MI,1398
54,OH,1688
54,WI,889
54,IA,389
54,KS,383
54,MN,732
54,MO,862
54,NE,259
54,ND,105
54,SD,114
54,VA,1220
54,AL,675
54,AR,385
54,FL,2959
54,GA,1392
54,LA,610
54,MS,398
54,NC,1454
54,SC,696
54,TX,3611
54,KY,639
54,MD,886
54,OK,459
54,TN,931
54,WV,252
54,AZ,900
54,CO,760
54,ID,197
54,MT,125
54,NV,424
54,NM,265
54,UT,335
54,WY,73
54,CA,4975
54,OR,499
54,WA,911
54,AK,69
54,HI,197
55,CT,579
55,ME,217
55,MA,1036
55,NH,222
55,RI,160
55,VT,99
55,DE,140
55,NJ,1335
55,NY,2878
55,PA,1905
55,IL,1849
55,IN,931
55,MI,1449
55,OH,1717
55,WI,946
55,IA,418
55,KS,417
55,MN,841
55,MO,885
55,NE,232
55,ND,100
55,SD,113
55,VA,1254
55,AL,730
55,AR,404
55,FL,2992
55,GA,1409
55,LA,610
55,MS,395
55,NC,1480
55,SC,702
55,TX,3675
55,KY,620
55,MD,882
55,OK,549
55,TN,1019
55,WV,270
55,AZ,921
55,CO,722
55,ID,182
55,MT,148
55,NV,424
55,NM,274
55,UT,342
55,WY,68
55,CA,5242
55,OR,495
55,WA,1044
55,AK,97
55,HI,172
56,CT,543
56,ME,207
56,MA,1044
56,NH,228
56,RI,176
56,VT,111
56,DE,126
56,NJ,1438
56,NY,3002
56,PA,1987
56,IL,1865
56,IN,896
56,MI,1502
56,OH,1707
56,WI,969
56,IA,448
56,KS,408
56,MN,860
56,MO,907
56,NE,273
56,ND,121
56,SD,136
56,VA,1294
56,AL,696
56,AR,473
56,FL,3010
56,GA,1532
56,LA,626
56,MS,398
56,NC,1553
56,SC,761
56,TX,3649
56,KY,652
56,MD,884
56,OK,588
56,TN,995
56,WV,268
56,AZ,903
56,CO,771
56,ID,234
56,MT,144
56,NV,420
56,NM,277
56,UT,363
56,WY,82
56,CA,5364
56,OR,516
56,WA,1073
56,AK,95
56,HI,177
57,CT,575
57,ME,207
57,MA,1081
57,NH,223
57,RI,146
57,VT,95
57,DE,148
57,NJ,1367
